DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
HARTS BLUFF ISD,225907,225 TITUS,08,2,868,1.4,52,43.7,0,0.8,0,2.2,56.1,32.7,9.4,37.6,15.7,2.5,95.5,0,,,,,,79,50,17,78,53,18,79,47,16,78,48,14,88,54,24,72,22,11,74,42,13,86,61,22,,,,81,81,57,,,,74,42,16,75,43,13,,,,,136.6,65.8,1.5,4.7,6.2,48.2,18.2,21.3,110426,69429,65730,53064,34.3,6.4,13.2,52.7,8.4,24.5,24.9,3,20.7,76.2,0,0,0,0,69.5,0.8,9.3,15.5,4.3,0.7,242278,0.886,11487072,14287,11487072,62.8,17.4,19.9,0,1624823,0,11702127,8875103,11039,60.9,8.7,7.4,9.5,13.4,5402738,6720,49.5,2.8,10,2.4,1.9,0.1,1,0,0,28.5,500 to 999,Non-metropolitan Fast Growing,"$191,241 to < $251,917",Under $1.0600
TEXAS LEADERSHIP PUBLIC SCHOOLS,226801,226 TOM GREEN,15,4,3722,21.5,49.1,24.1,0.2,0.9,0.1,4.1,54.6,3.2,9.7,2.8,25.3,0,93,0.4,98.4,97.1,95.9,126,103,69,36,10,74,44,12,64,30,9,64,29,6,72,38,16,61,25,5,67,33,8,79,50,18,56,11,0,89,71,29,-1,-1,-1,72,44,15,63,29,7,71,19.3,1054,16.7,468.9,270,2.7,3.1,8.6,57.6,9.8,18.2,92864,69636,64134,49847,50.2,7.9,13.8,62.6,6.9,22.2,38.8,19.1,26,52.6,0.4,1.1,0,0.8,88.8,2.8,0.5,0.4,6.4,1.1,0,0,42259779,12036,42260664,80.3,5.4,14.3,-885,0,9941451,40418575,37923710,10801,47.6,8.1,6.8,21.5,16,18060178,5144,36.6,5.3,8.8,0.3,3,0,2.7,0,0,37.5,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities
CHRISTOVAL ISD,226901,226 TOM GREEN,15,3,611,0,25.7,71.7,0.2,0.2,0,2.3,26.2,0.8,14.2,0.3,32.4,4.6,94.8,0,100,100,100,49,42,87,58,18,91,68,21,82,48,11,90,56,16,84,57,33,,,,85,57,16,87,58,18,,,,-1,-1,-1,,,,100,63,21,78,45,13,53.1,23.1,1004,20.4,83.3,54.5,2.4,2.4,1.2,65.5,4.8,23.7,117500,70072,47982,49381,14.1,7.3,11.2,22,12.8,25.7,23.6,0,5.5,92.7,0,0,0,1.8,86.9,1.8,0,0,11.3,0,593124,0.96,8611752,15323,8609104,49.1,41.9,9,2648,3546282,0,8082846,7594001,13512,46.7,13.6,4.7,16,18.9,3544054,6306,35.3,5,3.4,0.2,9.9,0.1,4.7,0,1.3,38.7,500 to 999,Rural,"$574,353 to < $604,829",Under $1.0600
SAN ANGELO ISD,226903,226 TOM GREEN,15,23,13529,3.3,62,30.4,0.2,1.1,0.1,3,61.6,6.1,13,6,21.5,4.5,92.6,1.1,92.3,93,91.3,948,648,67,36,11,68,41,12,63,30,10,69,35,10,72,38,15,56,28,7,62,29,7,78,51,20,55,24,5,92,74,47,69,48,24,72,42,15,59,26,6,84.3,22,932,21.7,1789.2,880.6,1.4,3.4,10.9,49.2,11.5,23.6,106120,75575,61698,53477,41,7.6,15.4,37.7,11.2,20.9,18.7,1.9,27.2,70,0,0.5,0,0.5,85.3,9.2,0.3,0.6,4.5,0,429159,1.1,163139642,11823,154478142,38.3,38.8,22.9,8661500,53653774,0,147986115,138421190,10032,55.3,6.1,5.8,10.3,22.4,76564531,5549,41.4,13,8.2,0.5,2.9,3.8,3.1,0,0.5,24.8,"10,000 to 24,999",Other Central City,"$399,525 to < $437,254",$1.0600 to under $1.1800
WATER VALLEY ISD,226905,226 TOM GREEN,15,5,342,1.5,28.1,62.6,0,0,0,7.9,52.9,3.2,24.6,2.9,35.7,3.8,94.1,0,100,100,100,31,27,84,52,14,86,58,10,84,49,12,84,46,22,78,46,18,100,70,0,72,39,12,88,56,15,,,,,,,,,,100,66,17,80,44,11,71,22.7,-1,19,61.3,35.7,1.6,3.4,4.8,58.3,11.3,20.6,119120,71497,52528,52968,15.4,5.6,9.6,13.9,16.1,25,19.9,0,13.9,86.1,0,0,0,0,74.6,15.9,0,0.6,8.9,0,605849,1.3,8775516,25073,6388281,50.1,39,10.9,2387235,5065710,0,18463045,5346916,15277,55.3,10.8,5.3,8.8,19.8,2959129,8455,44.9,8,5.5,0.1,5,0.2,5.8,0,0,29.3,Under 500,Rural,"$604,829 to < $640,713",$1.1800 to under $1.3001
WALL ISD,226906,226 TOM GREEN,15,6,1306,0.2,19.7,77.9,0.3,0,0.2,1.8,16.7,1.2,8.9,1.2,30.9,10.1,95.8,0,98.7,100,100,76,74,93,74,34,94,79,37,93,71,32,94,74,28,89,60,33,100,80,0,87,61,21,95,77,37,-1,-1,-1,,,,-1,-1,-1,90,68,34,81,49,14,76.3,50,1089,22.4,204.6,124.4,0.5,2,5.3,60.8,10.7,20.7,127677,72421,59028,50877,14.7,6.4,10.5,17.9,15,18.7,11.4,0,7.2,92.8,0,0,0,0,79.8,10.5,0,0.1,6.7,2.9,411446,1.185,18952576,14772,17508467,56.5,30.5,13,1444109,3072505,0,21402324,16982789,13237,59.1,8.2,3.6,8.5,20.6,10041977,7827,37.9,23.6,7.8,0.1,3.9,0.3,2.7,0,0,22.1,"1,000 to 1,599",Other Central City Suburban,"$399,525 to < $437,254",$1.1800 to under $1.3001
GRAPE CREEK ISD,226907,226 TOM GREEN,15,6,1172,0.6,46.2,49.6,0.2,0.1,0.3,3.1,67.4,5.5,21.2,5.5,29.4,7.3,94,0.3,96.6,100,98.3,57,52,74,43,13,75,47,13,72,39,14,78,41,9,75,48,18,57,57,14,70,37,9,79,48,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,77,54,9,71,39,12,89.5,7.8,-1,16.2,173,92.5,1.7,3.2,6.9,53.5,12.1,22.6,103478,86752,58699,48749,30.2,6.8,12.7,53.5,9.4,6.5,21.3,2.2,23.2,74.6,0,0,0,0,73.7,14.9,2.7,0.9,7.9,0,327384,1.178,18504527,16347,17690268,58.5,23.3,18.3,814259,7952952,0,16340405,14303754,12636,53.2,7.1,6.1,11.5,22.1,7609226,6722,33,12.5,14,1,3.5,0.7,3.3,0,0,28.9,"1,000 to 1,599",Other Central City Suburban,"$316,888 to < $355,840",$1.0600 to under $1.1800
VERIBEST ISD,226908,226 TOM GREEN,15,3,257,0.4,30.4,66.5,0,0,0,2.7,45.1,4.7,10.9,4.7,44,4.3,95.1,0,100,92.9,100,19,14,84,58,17,87,66,21,85,58,19,84,57,9,69,28,11,,,,84,61,19,83,56,16,,,,,,,,,,-1,-1,-1,78,52,15,57.9,36.4,1021,21.1,48.1,25.9,2.1,4.2,2.1,53.8,11.1,26.7,113300,68392,67800,49510,10.2,5.3,9.9,22.6,12.1,0,8.4,0,3.7,96.3,0,0,0,0,73.5,4.2,0,1.2,14.2,6.8,595716,1.171,4877095,17607,4598173,38.4,45.2,16.5,278922,1294050,0,4722970,4163169,15029,45.8,15.8,5.5,13,19.9,1907215,6885,37.1,2.3,6.7,0,4.5,0.1,3.6,0,2,42.6,Under 500,Rural,"$574,353 to < $604,829",$1.0600 to under $1.1800
UNIVERSITY OF TEXAS AT AUSTIN H S,227506,227 TRAVIS,13,1,823,8.6,30.5,47.1,0.7,6.2,0.2,6.6,15.1,1.8,5.1,1.6,42.8,11.8,100,9.6,,,,125,114,93,77,32,91,81,26,83,48,10,95,70,29,99,92,52,92,77,35,88,68,19,95,81,37,-1,-1,-1,100,97,59,-1,-1,-1,100,87,33,84,69,23,32,75,1233,-1,32.3,14.2,3.1,20.8,15.5,43.9,0,16.7,176384,75648,76387,64311,31,25.5,-2,0,12.5,76.7,29.7,7,7,83.9,2,0,0,0,63.1,0,0,0,16.8,20.1,0,0,5957813,8946,5957813,85.3,14.7,0,0,0,0,2574280,2566847,3854,33.9,31.1,22.7,0,12.3,869935,1306,65.7,7.1,0,0,3.1,1,0,0,0,23.1,500 to 999,Major Suburban,Non-taxing entities,Non-taxing entities
WAYSIDE SCHOOLS,227803,227 TRAVIS,13,4,1651,5.5,81,10.6,0.3,0.4,0,2.2,81.6,42.2,14.2,40.2,9.9,0,92.2,0.7,98.5,97.4,97.8,69,67,60,30,10,63,33,10,61,30,9,54,27,7,43,24,12,52,23,9,58,27,8,82,57,24,67,17,0,100,100,14,,,,79,49,26,57,26,7,100,8.2,841,14.5,216.7,107,4.3,6.4,9.7,49.4,21.2,9.1,88059,74204,58795,52127,62.1,7.6,15.4,69.2,4.8,21.3,51.6,9.4,37.5,48,0,3.2,0,1.9,84.3,9.5,2.3,1.8,2.1,0,0,0,25348862,15428,24827895,68.7,2.9,28.4,520967,0,6076024,21676158,19838003,12074,53.2,7.4,9.8,15.1,14.3,10556148,6425,40.7,10.1,8.8,1.4,2.2,0,0.3,0,1.6,31.5,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
NYOS CHARTER SCHOOL,227804,227 TRAVIS,13,2,1624,13.9,30.7,35.3,0.1,14.8,0.2,5,30.4,22,10.4,21.2,17.7,0,94.5,0.9,95.7,90.5,100,67,66,85,61,29,90,70,37,80,52,24,83,54,18,87,59,33,80,45,18,78,49,17,92,73,39,-1,-1,-1,90,73,42,100,67,33,85,61,32,77,47,19,85.1,63.2,1161,26.4,190.4,127.1,1.6,3.7,7.9,66.8,11,9,125953,80316,74899,53485,40.6,8.5,12.8,53.3,7.3,33.5,29.6,9,16.6,67,0.7,4.7,0,1.9,87.8,4.3,3.1,0,4.8,0,0,0,17239609,12123,17223621,82.9,7.9,9.3,15988,0,4444074,17021932,15830500,11133,62,13,5,12.3,6.8,9818440,6905,51.4,11.8,4.4,0.8,2.1,0,0.5,0,0.2,26.6,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
TEXAS EMPOWERMENT ACADEMY,227805,227 TRAVIS,13,2,387,88.6,8.3,0.3,0.3,0.5,0,2.1,53.5,0,8,0,4.1,0,90.6,1.3,,,,8,2,73,37,9,79,41,8,73,38,9,64,28,7,58,29,13,74,38,10,70,30,0,,,,,,,-1,-1,-1,,,,57,36,7,73,38,11,100,0,939,,52.5,28.9,2,0.1,10.6,55.1,13.4,18.8,74005,94624,54127,55490,98.1,7.4,13.4,71.8,4.2,14.2,33.3,96.6,3.4,0,0,0,0,0,99.4,0,0,0,0.6,0,0,0,15304724,39043,14389373,29,59.6,11.5,915351,0,9119946,6509479,6313043,16105,42.7,11.7,7.2,15.3,23.1,2698433,6884,34,5.4,13,0,0.1,0,0.5,0,3.5,41.7,Under 500,Charters,Non-taxing entities,Non-taxing entities
UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,227806,227 TRAVIS,13,21,553,15.6,32.7,45.8,0.9,0.5,0.5,4,51.4,4.5,41.2,4.5,21.9,0.7,90.8,7.1,42.3,37.9,25.7,7,4,82,67,40,86,76,48,91,73,50,67,44,11,60,40,20,-1,-1,-1,59,35,12,97,89,58,,,,,,,,,,,,,14,0,0,28.6,-1,-1,-1,134,65.4,7.2,4.8,10.4,48.8,16.1,12.8,92935,87796,68778,57094,38.5,4.1,8.5,24.1,14.3,35,35.9,9.5,13,70.9,4.6,1.5,0,0.4,80.8,17,0,0,2.3,0,0,0,13106675,24637,13106675,66.8,0,33.2,0,0,5252491,12574909,12574909,23637,58.6,14.6,10.5,3,10.9,7363254,13841,26.2,30.1,21.5,0.1,0,0,0,0,0,21.7,500 to 999,Charters,Non-taxing entities,Non-taxing entities
CHAPARRAL STAR ACADEMY,227814,227 TRAVIS,13,1,371,5.7,20.5,39.4,0.8,25.1,0,8.6,5.4,16.2,4,15.4,20.8,0,94.5,0,84.2,96.4,92.3,16,15,95,84,52,95,89,58,94,81,47,96,81,39,98,79,60,85,56,33,92,71,38,98,92,57,100,80,40,98,92,61,,,,95,90,60,94,79,39,75,91.7,1201,,30.3,24.5,0.3,6.6,12.2,80.9,0,0,102446,77649,54226,54446,23.1,12.3,15.2,36.8,10.5,31.9,27,4.1,12.3,75.5,0,4.1,4.1,0,90.9,0,0,0,9.1,0,0,0,3154486,8911,3154486,96.2,0.6,3.2,0,0,0,3084774,3003038,8483,74.1,7.1,9.9,6.2,2.8,2223644,6281,78.7,1.6,2.2,2.2,2.4,0,0,0,0,10.7,Under 500,Charters,Non-taxing entities,Non-taxing entities
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,227816,227 TRAVIS,13,7,4471,10.6,49.3,15.7,0.1,22.2,0,2.1,62.1,50.4,7.3,49.4,24,11.6,93,0.2,96.6,97.7,98.6,201,192,75,50,24,76,55,26,76,48,25,72,44,17,71,46,23,81,54,25,64,34,12,87,68,36,-1,-1,-1,93,78,50,-1,-1,-1,86,68,39,68,39,15,98.5,33.8,1004,-1,477.4,297.1,0.8,6,13.9,62.2,9.9,7.1,112960,85161,69117,60905,46.8,9.4,15,46.8,7,29.5,25.1,12.2,25.3,51.8,0.3,6.6,0,3.7,81.8,4.9,2.3,5.2,3.8,1.9,0,0,58238909,13788,58248109,74.9,7.9,17.2,-9200,0,4876304,55843817,54023419,12790,56.1,7.3,9,14.1,13.5,30287290,7170,46.7,5.1,12.5,1.7,2.4,0.3,0,0,0.7,27.6,"3,000 to 4,999",Charters,Non-taxing entities,Non-taxing entities
CEDARS INTERNATIONAL ACADEMY,227817,227 TRAVIS,13,2,493,7.7,81.9,6.9,0.2,0,0,3.2,77.5,52.9,16.8,52.9,14.2,2.4,91.3,0.8,96.2,97,100,25,15,76,44,15,75,48,16,77,34,11,76,45,11,81,53,31,78,45,5,74,41,12,86,60,30,-1,-1,-1,,,,,,,100,76,62,74,39,12,92,8.7,889,,81.3,46.4,2.5,12.4,4.1,57.1,8.3,15.7,100150,81455,73865,58774,57.2,6.1,10.6,42.4,8.8,34.4,30.7,2.2,38.1,42.6,0,10.8,0,6.5,77.6,15.1,4.5,0,2.9,0,0,0,7599107,15321,7407560,75.7,2.2,22.1,191547,0,1936002,7655562,7590481,15303,56.1,8.2,6.9,11.1,17.7,4261495,8592,33.6,13,14.8,3.8,1.6,0.1,0.1,0,0.6,30,Under 500,Charters,Non-taxing entities,Non-taxing entities
UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,227819,227 TRAVIS,13,1,296,15.9,65.5,13.5,0,1.4,0,3.7,56.8,12.8,17.6,12.8,0,4.1,93.6,,,,,,,73,45,24,80,53,28,70,40,19,63,35,24,,,,70,30,9,67,36,17,97,97,74,,,,-1,-1,-1,,,,100,75,38,66,30,10,,,,,34.1,20,2.2,5.9,2.6,58.8,11.7,18.8,110533,74715,78899,56288,55.5,8.7,14.8,44.9,9.3,34.9,41.8,15,19.9,50.1,0,10,0,5,90,10,0,0,0,0,0,0,4335435,14356,4335435,66.5,15,18.6,0,0,1869706,3909616,3909616,12946,59.4,8.5,9.9,8.3,10,2322777,7691,33.6,8.1,19.9,0.8,0,0.1,0,0,3.4,28.5,Under 500,Charters,Non-taxing entities,Non-taxing entities
KIPP TEXAS PUBLIC SCHOOLS,227820,227 TRAVIS,04,58,33060,27,67.8,1.7,0.5,1.9,0.1,1,89.1,41.3,9.2,40.1,12.8,0,93,1.8,94.3,96.9,98.2,1235,1177,66,35,11,71,43,14,63,26,8,63,31,7,68,35,13,63,34,12,67,34,10,68,37,13,72,44,17,79,55,27,48,26,22,68,39,14,66,34,10,100,15.1,914,17.4,4245.8,1976.8,0.8,5.7,22.2,46.6,9.8,14.9,147937,78722,72814,58790,77.7,7.8,16.7,73.4,4.1,23.5,36.8,46.2,27.9,19.3,0.9,2.1,0.1,3.6,95.7,1.9,0,0.1,2.3,0,0,0,454740943,14071,454365007,74.5,5.1,20.5,375936,0,137943903,439077838,423499088,13104,47.6,10.4,11.5,12.1,17.5,201506301,6235,43.6,8.4,11.3,1.5,1,0,0.6,0,0,31.7,"25,000 to 49,999",Charters,Non-taxing entities,Non-taxing entities
AUSTIN DISCOVERY SCHOOL,227821,227 TRAVIS,13,1,332,3,23.5,66.6,0,0.6,0.6,5.7,15.4,0.6,10.5,0.6,0,0,92.4,,,,,,,70,42,18,78,57,30,60,30,9,75,36,11,,,,18,18,9,70,38,15,72,43,19,,,,100,80,20,,,,70,52,26,61,29,15,,,,,35.5,22.4,2.8,2.8,12.9,62.9,10.1,8.4,69400,62999,58142,47531,16.3,9.3,14.9,60,6,25.6,63.1,4.4,13.3,82.2,0,0,0,0,95.6,4.4,0,0,0,0,0,0,4349320,10115,4349320,81.3,8,10.7,0,0,1211270,4659809,4244619,9871,63.8,12.6,1.5,12.8,9.4,2706508,6294,52.4,15.4,5.7,0.3,0,0,0,0,0,26.2,Under 500,Charters,Non-taxing entities,Non-taxing entities
VALERE PUBLIC SCHOOLS,227824,227 TRAVIS,13,4,970,3.9,92.9,2.5,0,0.1,0,0.6,93.4,39.9,8.1,39.7,3.9,0,89.5,3.2,92,92.5,98.3,46,46,71,35,9,75,43,11,68,30,9,68,23,3,71,42,13,72,43,6,71,34,9,83,54,25,,,,,,,,,,81,44,19,70,34,8,87,2.5,742,15.7,113.7,60.6,1.8,5.3,10.7,53.3,13.2,15.8,212469,67361,68212,57834,72.2,8.5,16,41.1,10.2,12.6,18.5,11.5,54.4,34.1,0,0,0,0,78.7,8.2,9.8,1,2.3,0,0,0,13587668,13347,13587668,72.7,0.8,26.5,0,0,5052546,13010581,12957102,12728,42.4,15.4,3.5,19.3,19.5,5494217,5397,26.3,4.5,13,1.2,0,0,0.4,0,0.4,50.9,500 to 999,Charters,Non-taxing entities,Non-taxing entities
AUSTIN ACHIEVE PUBLIC SCHOOLS,227825,227 TRAVIS,13,4,2449,11.2,85.5,2.2,0.1,0.2,0,0.6,93.2,66.1,9.9,62,12.1,0,94,2.4,89.7,96.9,,129,125,60,28,8,63,31,7,58,22,6,45,16,4,69,46,25,53,22,3,60,28,8,74,45,17,-1,-1,-1,-1,-1,-1,,,,50,21,7,58,27,7,81.4,5.7,-1,16.8,428,158.1,0.2,3.8,18.4,36.9,19.1,21.6,205000,86868,64071,60026,69.9,5.7,15.5,63.3,5.3,20.4,35.5,18.9,31.7,43.7,0,4.3,0.8,0.6,85.6,6.7,6.8,0.3,0.6,0,0,0,38565989,16681,38565989,62.6,12.2,25.2,0,0,-4586783,37053747,35048282,15159,44.1,7.7,6.1,12.8,27.8,15469642,6691,29.7,8.9,14.8,2.2,0.5,0,0.9,0,2.3,39.2,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
MONTESSORI FOR ALL,227826,227 TRAVIS,13,1,456,10.1,45.8,31.1,0,4.8,0,8.1,49.8,23.9,9.2,23.7,0,0,94.6,,,,,,,71,42,17,78,53,23,62,32,13,78,35,15,,,,50,18,11,65,34,13,88,59,25,,,,33,0,0,,,,80,73,40,57,26,10,,,,,52.7,27.7,3.8,1.5,5.7,52.6,30.4,6.1,90000,104372,55036,55181,56,8.7,16.5,57.7,6.3,24.7,28.6,3.6,23.7,65.6,0,7.2,0,0,80.5,11.6,4.8,3.2,0,0,0,0,5579989,11872,5579989,71,11.3,17.7,0,0,3188471,5979646,5434039,11562,48.8,13.3,6.9,21.3,9.5,2649692,5638,33.8,6.1,11.3,1.7,0,0,0,0,4,39.8,Under 500,Charters,Non-taxing entities,Non-taxing entities
THE EXCEL CENTER (FOR ADULTS),227827,227 TRAVIS,13,5,988,19.6,56.3,20.2,0.4,1.6,0.3,1.5,95.1,26.8,1.5,26.4,74.3,0,79.4,46.9,17.2,27.8,29.3,289,2,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,,,,,,,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,-1,-1,-1,0,,,,98.4,48.9,15.1,2.6,31.7,49.7,0,1,81613,61260,56354,53683,47.5,10,20.2,37.5,10.2,57.7,43.4,10.5,21.3,60.3,0,7.8,0,0,99.2,0,0,0,0.8,0,0,0,10028891,11883,9622617,81.1,14.5,4.4,406274,0,517531,7492428,7492428,8877,40.9,18.3,8.7,8.1,24,3065512,3632,53.2,1.9,8.8,1.5,6.5,0,0,0,0,28.1,500 to 999,Charters,Non-taxing entities,Non-taxing entities
VALOR PUBLIC SCHOOLS,227829,227 TRAVIS,13,3,2158,2.5,33.2,53.4,0.1,4.4,0,6.3,23.6,7.6,8.1,7.3,0.2,0,94.6,0,,,,,,84,60,28,91,70,35,80,53,22,76,49,20,80,56,27,76,37,12,71,42,16,92,71,34,,,,95,79,49,-1,-1,-1,82,57,30,69,40,14,-2,-1,-1,,222.1,121.8,0.7,6,10.2,54.9,15.1,13.3,132766,75233,71985,45347,18.6,9.7,17.7,86.3,2.6,19.6,38.2,1.6,11,83.2,0,1.6,0,2.5,99.8,0.1,0.2,0,0,0,0,0,21640708,15704,21640708,58.3,34.7,7,0,0,2591527,14411468,13820120,10029,48.4,8.3,11.3,16.7,13.1,6683253,4850,54.7,7.9,2.5,0.4,0,0,2.3,0,0,31.1,"1,600 to 2,999",Charters,Non-taxing entities,Non-taxing entities
AUSTIN ISD,227901,227 TRAVIS,13,122,73198,6.1,54.1,30.7,0.2,4.9,0.1,3.9,51.5,30.5,13.8,34.2,25.8,12.9,90.6,1.7,95.6,97,96.8,4605,4129,74,51,25,75,56,27,72,45,21,74,48,22,78,56,35,57,28,8,63,35,12,92,77,44,78,52,24,88,75,52,73,50,18,89,72,42,58,29,9,63.8,56.2,1119,26.1,9174.9,4433.6,0.5,3.3,9.4,48.3,11.3,27.2,149621,90917,75879,58510,60,8,16.5,36.3,10.8,28.6,32,6.1,34.9,53.7,0.2,3.4,0,1.7,54.6,10.4,0.2,21.1,4.3,9.5,2124670,1.062,1144961666,15928,974423742,4.6,73,22.4,170537924,191712705,0,1309706902,955969782,13299,50.1,8.6,6.2,11.8,23.3,479355461,6669,35.6,16.8,7.1,1.1,2,0.3,3.6,0,2.4,28.4,"50,000 and over",Major Urban,"$1,147,749 and over",$1.0600 to under $1.1800
PFLUGERVILLE ISD,227904,227 TRAVIS,13,33,25419,15.4,48.3,22.1,0.3,9,0.2,4.7,45.6,27.4,12.6,27.5,25.9,8.4,91.8,1.5,93.3,97.4,98.4,1751,1545,76,50,21,78,55,22,73,42,17,78,49,19,79,52,29,68,37,11,71,41,14,89,68,34,82,48,16,90,73,40,86,59,16,84,59,27,66,35,10,70.6,37.8,1006,21.1,3381.1,1800.2,1.7,3.1,10.4,53.2,12.1,19.4,95670,79106,70203,57953,41.9,7.5,14.1,36.4,10.8,29.1,25,9.1,21.2,65.2,0.3,2.2,0.3,1.8,68.5,15.6,0.2,10.2,4.2,1.4,762666,1.388,356668877,14071,264204601,13.4,69.8,16.8,92464276,62680654,0,432374094,285475919,11262,58.6,5.6,5.2,9.4,21.2,167209805,6597,39.5,18.5,6.4,1.6,3.2,0.4,1.8,0,0,23.8,"25,000 to 49,999",Major Suburban,"$753,747 to < $836,417",$1.3001 and over
MANOR ISD,227907,227 TRAVIS,13,15,9227,20.9,64.6,6.7,0.3,4.2,0.2,3,71.3,45.2,10.7,45.4,30,10.5,90.7,4.8,86.6,94,93.6,622,595,61,29,8,62,34,8,56,23,7,63,24,6,70,36,11,57,26,7,59,26,6,70,41,18,57,26,3,79,54,24,70,33,19,74,44,14,57,25,6,81.5,8.1,841,-1,1285,621.5,1.2,5.1,11.4,48.4,6.5,27.5,107507,74327,73326,58454,71.6,7.2,14.8,56.6,6.9,19.5,40.9,19.7,31.5,33,0.4,11.6,0.5,3.2,78,7.6,0,14,0.5,0,770839,1.352,144514269,16006,109581822,20.3,58.8,20.9,34932447,41531991,0,158124057,108212126,11985,50.4,9.3,6.7,12.1,21.6,54498057,6036,41.1,11.4,6,1.6,3.5,0.4,2,0.1,0,31.1,"5,000 to 9,999",Major Suburban,"$753,747 to < $836,417",$1.3001 and over
EANES ISD,227909,227 TRAVIS,13,10,7720,0.8,14.9,63.7,0.1,14.2,0.1,6.2,4.3,3,10.9,2.8,20.2,11.6,95,0.3,99,99.6,99.9,726,674,97,85,53,97,88,51,96,84,52,96,82,51,97,85,62,87,57,21,94,79,44,97,85,50,100,80,30,98,93,72,79,79,29,98,89,57,86,64,28,92.8,82.5,1263,28,1096.5,608.9,1.3,2.6,12.3,55.5,7.2,21,133414,99140,71317,59286,27.6,7,12.7,35.7,11.6,37.1,20.6,1.5,13.7,80.2,0.7,2.3,0.2,1.4,72.5,19.2,1.8,0.7,2.5,3.3,2326187,1.061,110866967,14197,85369322,4.9,90,5.1,25497645,25426545,0,128102058,89962021,11520,55.8,8.3,4.6,10.9,20.4,50198695,6428,42.2,21,1.6,0.2,2.1,0.8,3,0,0,27.2,"5,000 to 9,999",Major Suburban,"$1,147,749 and over",$1.0600 to under $1.1800
